match_id,blue_top,blue_jg,blue_mid,blue_adc,blue_sup,red_top,red_jg,red_mid,red_adc,red_sup
EUW1_7615588848,Camille,MonkeyKing,Orianna,Yunara,Bard,Irelia,Sylas,Ahri,Twitch,Sona
EUW1_7615583610,Malphite,Sylas,Yasuo,Smolder,RekSai,Kennen,Viego,Akali,Kaisa,Nautilus
EUW1_7610224932,Zaahen,MonkeyKing,Ryze,Kaisa,Blitzcrank,Quinn,Aatrox,Azir,Jhin,Velkoz
EUW1_7610198899,Karma,JarvanIV,Ryze,MissFortune,Thresh,Jayce,Diana,Orianna,Jhin,XinZhao
EUW1_7610174747,Zaahen,Sylas,Syndra,Yunara,Janna,Nasus,Trundle,Akali,Jinx,Thresh
EUW1_7608875708,Fiora,Teemo,Ahri,Jhin,Rell,Sion,Talon,Orianna,Sivir,Sona
EUW1_7620250665,Gragas,Sylas,Zed,Kaisa,Pantheon,Olaf,Aatrox,Taliyah,Tristana,Rakan
EUW1_7620221622,Ambessa,JarvanIV,Viktor,Sivir,Neeko,Cassiopeia,Nocturne,Syndra,Zeri,Sona
EUW1_7619131486,Zaahen,DrMundo,Ahri,Yunara,Alistar,Singed,Nocturne,Swain,Jhin,Bard
EUW1_7618056492,Vayne,Nocturne,Ahri,Qiyana,Poppy,Riven,Diana,Yasuo,Lucian,Neeko
EUW1_7616951629,Jax,Nocturne,Yone,Ziggs,Bard,Kennen,Zaahen,Orianna,Ezreal,Alistar
EUW1_7614924448,Teemo,Nocturne,Irelia,Ezreal,Leona,Malphite,Rengar,Syndra,Tristana,Nautilus
EUW1_7610901650,Gangplank,Nocturne,Irelia,Ekko,Rell,Renekton,Sylas,Taliyah,Caitlyn,Alistar
EUW1_7610828968,Gangplank,LeeSin,Orianna,Cassiopeia,Rakan,Jayce,DrMundo,Hwei,Smolder,Janna
EUW1_7609683279,Zaahen,Ornn,Aurora,Corki,Rakan,Gangplank,Shaco,Ahri,Ezreal,Bard
EUW1_7609607455,Gangplank,LeeSin,Akali,KogMaw,Lulu,Pantheon,Chogath,Tristana,Ezreal,Bard
EUW1_7620041076,Gragas,Khazix,Orianna,Draven,Nautilus,Vayne,Teemo,Lux,Jinx,Pyke
EUW1_7620031942,Gragas,Rumble,Corki,Draven,Rell,Shen,Vi,Twitch,Kaisa,Blitzcrank
EUW1_7620019129,Zaahen,Zed,Syndra,Kaisa,Thresh,Ambessa,Talon,Katarina,Twitch,Rakan
EUW1_7620014601,Zaahen,Khazix,Kassadin,Twitch,Karma,Gragas,LeeSin,Velkoz,Nilah,Nautilus
EUW1_7619150316,Vayne,Rengar,Smolder,Ziggs,Sona,Riven,Viego,Malzahar,Lucian,Janna
EUW1_7619136511,Shen,DrMundo,MissFortune,Mel,Rell,Rumble,Zed,Malzahar,Tristana,Nautilus
EUW1_7619098883,Gnar,Qiyana,Sylas,Xerath,Rakan,Malphite,Ambessa,Orianna,Kaisa,Rell
EUW1_7619070175,Sion,Diana,Malzahar,MissFortune,Neeko,Jayce,Sylas,Ziggs,Xayah,Rakan
EUW1_7619041119,Sion,Sylas,Twitch,Jhin,Janna,Fiora,Skarner,Ekko,Smolder,Rakan
EUW1_7619015065,Fiora,Jayce,Fizz,Twitch,Rakan,Sion,Kayn,Mel,MissFortune,Neeko
EUW1_7619821974,Sion,Malphite,Ahri,Taliyah,Pantheon,Aatrox,Khazix,Orianna,Ekko,Bard
EUW1_7619773223,Shen,Hecarim,Akali,AurelionSol,Rell,Renekton,LeeSin,Leblanc,Mel,Nautilus
EUW1_7619710731,Sett,Diana,Mel,MissFortune,Alistar,Gwen,Viego,Yasuo,Cassiopeia,Rell
EUW1_7617042401,Irelia,Aatrox,Anivia,MissFortune,Pyke,Zaahen,LeeSin,Neeko,Ezreal,Bard
EUW1_7616076461,Shen,Qiyana,Yone,Mel,Sylas,Kennen,Viego,Syndra,Smolder,Amumu
EUW1_7613325839,Zac,Aatrox,Mel,Sivir,Lulu,KSante,Qiyana,Syndra,Caitlyn,Zoe
EUW1_7610581153,Ambessa,Zaahen,Ekko,Kaisa,Thresh,LeeSin,Rengar,Nunu,Zeri,Yuumi
EUW1_7609133218,Sion,Malphite,Akali,Yunara,Pyke,Aatrox,Diana,Orianna,Kaisa,Bard
EUW1_7601314680,Darius,Elise,Hwei,Corki,Pyke,Vayne,Qiyana,Malzahar,Sivir,Rell
EUW1_7601145120,Gwen,LeeSin,Syndra,Kaisa,Nautilus,Olaf,Viego,Ryze,Ashe,Seraphine
EUW1_7620457472,Rumble,JarvanIV,Nunu,Kaisa,Morgana,Aurora,Zed,Taliyah,Jhin,Alistar
EUW1_7620408438,DrMundo,Ambessa,KogMaw,Lucian,Nami,Aatrox,Karthus,Taliyah,Jhin,Nautilus
EUW1_7620356647,Zaahen,Hecarim,Taliyah,MissFortune,Neeko,Aurora,Shaco,Katarina,Yunara,Rakan
EUW1_7620313668,Shen,Ambessa,Orianna,Kaisa,Nautilus,Yone,Karthus,Taliyah,Draven,Pyke
EUW1_7620260290,Quinn,JarvanIV,Syndra,Yunara,Alistar,DrMundo,LeeSin,Taliyah,MissFortune,Neeko
EUW1_7619821974,Sion,Malphite,Ahri,Taliyah,Pantheon,Aatrox,Khazix,Orianna,Ekko,Bard
EUW1_7619753453,Jayce,Nocturne,Taliyah,Mel,Nautilus,Malphite,Nidalee,Quinn,Ezreal,Leona
EUW1_7619660887,Zaahen,Ekko,Gragas,Varus,Pyke,Jayce,Viego,Zoe,Taliyah,Janna
EUW1_7619594570,Vayne,Malphite,Hwei,Yunara,Lulu,Zaahen,Ambessa,Ahri,Kaisa,Nami
EUW1_7619496406,Renekton,Ambessa,Ahri,Corki,Janna,Quinn,LeeSin,Hwei,Yasuo,Alistar
EUW1_7619797806,Gnar,Ambessa,Ekko,Sivir,Poppy,Vayne,Viego,Sylas,Zeri,Neeko
EUW1_7619739599,Yone,Ekko,Syndra,Yunara,Rell,Jayce,Ivern,Aurora,Jinx,Leona
EUW1_7619657658,Gangplank,Aatrox,Orianna,Zeri,Lulu,Sion,Ambessa,Viktor,Tristana,Janna
EUW1_7619568281,Ornn,Jayce,Ahri,Jhin,Neeko,Rumble,Rengar,Orianna,Ezreal,Nautilus
EUW1_7619523934,KSante,Aatrox,Ziggs,Xayah,Neeko,Renekton,Ekko,Malzahar,Jhin,Bard
EUW1_7619460777,Aatrox,Jayce,Syndra,MissFortune,Blitzcrank,KSante,Malphite,Akali,Yunara,Thresh
EUW1_7619410050,Cassiopeia,Rengar,Neeko,Yunara,Lulu,Zaahen,Aatrox,Orianna,MissFortune,Alistar
EUW1_7618812254,Sion,Ambessa,Akali,MissFortune,Bard,Fiora,RekSai,Galio,Jhin,Renata
EUW1_7618782563,Renekton,Diana,Yasuo,MissFortune,Lulu,Gragas,Rengar,Qiyana,Yunara,Bard
EUW1_7618714120,Jayce,Vi,Hwei,Ezreal,Karma,Urgot,Viego,Akali,Kaisa,Neeko
EUW1_7612828769,Zaahen,Diana,Jayce,Smolder,Sona,Malphite,Sylas,Aurora,Kaisa,Nautilus
EUW1_7612794014,Zaahen,Chogath,Zed,Zeri,Alistar,Jayce,Ornn,Azir,Lux,Nautilus
EUW1_7612768161,LeeSin,FiddleSticks,Vladimir,Tristana,Brand,KSante,Talon,Orianna,Hwei,Shaco
EUW1_7612756077,Gnar,Nocturne,Akali,Kaisa,Janna,Yasuo,LeeSin,DrMundo,Mel,Brand
EUW1_7612745684,Kled,Rengar,Orianna,MissFortune,Karma,Shen,Viego,Akali,Twitch,Sylas
EUW1_7612729220,Akali,Fizz,Zaahen,Twitch,Bard,Yone,Amumu,Zed,Kaisa,Pantheon
EUW1_7612728560,Kayle,RekSai,Orianna,Mel,Camille,Vladimir,Viego,KSante,Smolder,Nami
EUW1_7611989279,Heimerdinger,LeeSin,Irelia,Jhin,Rell,Rengar,Qiyana,Orianna,MissFortune,Elise
EUW1_7611948934,Kennen,Sylas,Ambessa,Jhin,Poppy,Aatrox,Viego,Akali,Kaisa,Neeko
EUW1_7611908891,DrMundo,Jayce,Akali,Smolder,Neeko,Gragas,Ambessa,Quinn,Jhin,Bard
EUW1_7619904155,Aatrox,Ambessa,Gwen,Cassiopeia,Nautilus,Yasuo,Sylas,Viktor,Kaisa,Poppy
EUW1_7619489685,Shen,Ambessa,Kaisa,Corki,Janna,Vayne,DrMundo,Zoe,MissFortune,Pantheon
EUW1_7619067768,Darius,Shen,Swain,Jhin,Sona,Fiora,LeeSin,Cassiopeia,Ezreal,Blitzcrank
EUW1_7618996074,Jax,Ambessa,Syndra,Kaisa,Karma,Pantheon,Fizz,Zed,MissFortune,Neeko
EUW1_7618855025,Vayne,Talon,Leblanc,AurelionSol,Pantheon,KSante,Viego,Zoe,Kaisa,Bard
EUW1_7618376910,Riven,Sylas,Orianna,MissFortune,Nautilus,Aatrox,LeeSin,Syndra,Kaisa,Braum
EUW1_7618301026,Teemo,Malphite,Quinn,Ezreal,KSante,Yorick,Aatrox,Sylas,Kaisa,Neeko
EUW1_7618261350,Shen,Ornn,Taliyah,Tristana,Camille,Olaf,Chogath,Zed,Kaisa,Neeko
EUW1_7618147687,Vladimir,Jayce,Neeko,Draven,Janna,Shen,Zed,Malzahar,Kaisa,Bard
EUW1_7617940731,Gangplank,JarvanIV,Mel,Yunara,Karma,Gwen,Chogath,Jayce,Kaisa,Rakan
EUW1_7618009780,Gangplank,Diana,Mel,Jhin,Nautilus,Gwen,Aatrox,Akali,Lucian,Rell
EUW1_7617983656,Gangplank,Kindred,Sylas,MissFortune,Bard,Zaahen,Aatrox,Ekko,Ashe,Nautilus
EUW1_7610405624,Sion,Naafiri,Anivia,Jhin,Bard,KSante,Nidalee,Syndra,Zeri,Nautilus
EUW1_7610378045,Jax,Qiyana,Katarina,Jhin,Elise,Ambessa,Chogath,Orianna,Corki,Nautilus
EUW1_7610345421,Irelia,Chogath,Yone,Caitlyn,Nautilus,Zaahen,Jayce,Ryze,Corki,Nami
EUW1_7601034513,Ornn,Viego,Akali,Kaisa,Alistar,Camille,Diana,Galio,Tristana,Leona
EUW1_7600995068,Sion,LeeSin,Leblanc,Mel,Nautilus,Ekko,Graves,Syndra,Caitlyn,Bard
EUW1_7599978629,Swain,JarvanIV,Yone,Ziggs,Nautilus,Gwen,MonkeyKing,Irelia,Varus,Pyke
EUW1_7599943661,Rumble,LeeSin,Quinn,Ezreal,Leona,Yorick,XinZhao,Zed,Ziggs,Bard
EUW1_7599870292,Renekton,Graves,Syndra,Vayne,Braum,Fiora,Diana,Yasuo,Kaisa,Nautilus
EUW1_7617131304,Rumble,Graves,Ahri,Jhin,Poppy,Sion,Kindred,Orianna,Ziggs,Rell
EUW1_7617107020,Zaahen,Diana,Tristana,Ziggs,Bard,Gwen,Aatrox,Ahri,Jhin,Pyke
EUW1_7617068037,Sylas,Graves,Ryze,Kaisa,Nautilus,Jax,Ambessa,Vladimir,Draven,Shen
EUW1_7616234164,DrMundo,Diana,Yasuo,Yunara,Braum,Gwen,Chogath,Renekton,Jhin,Alistar
EUW1_7616152573,Nidalee,Chogath,Yone,Tristana,Rakan,Zaahen,Sylas,Ahri,Corki,Nautilus
EUW1_7616073957,Zaahen,Chogath,Mel,Sivir,Rell,Ambessa,Diana,Quinn,Ziggs,Leona
EUW1_7616015191,Zaahen,Nidalee,Tristana,Syndra,Taric,Teemo,Belveth,Ahri,Jinx,Poppy
EUW1_7615965282,Zaahen,Talon,Ryze,Kaisa,Taric,Aatrox,MonkeyKing,Cassiopeia,Mel,Senna
EUW1_7615925841,Sion,Talon,Ahri,Ashe,Janna,Aatrox,Teemo,Yasuo,Kaisa,Karma
EUW1_7615882414,Shen,Rengar,Leblanc,Jhin,Janna,Darius,Qiyana,Mel,Yunara,Zilean
EUW1_7618908904,Sion,Rengar,Swain,Draven,Nautilus,Jax,Sylas,Syndra,Kaisa,Bard
EUW1_7618891060,Fiora,RekSai,Viktor,Ezreal,Lux,Riven,MonkeyKing,Mel,Jhin,Amumu
EUW1_7618870770,Vladimir,Zaahen,Zed,Tristana,Janna,Ryze,Qiyana,Ambessa,Ashe,Zoe
EUW1_7618847346,Urgot,Khazix,Hwei,Twitch,Thresh,Irelia,Ivern,Sylas,Yunara,Nami
EUW1_7618832712,Ekko,Viego,Olaf,Tristana,Renata,Vayne,LeeSin,Katarina,Sivir,Alistar
EUW1_7618405294,Sion,Diana,Yasuo,Tristana,Alistar,Olaf,Sylas,Talon,Ziggs,Janna
EUW1_7618355224,KSante,Shaco,Yone,Mel,Bard,Vayne,Sylas,Quinn,Smolder,Alistar
EUW1_7617726896,KSante,Zed,Mel,Jhin,Janna,Shen,Sylas,Ryze,Yunara,Alistar
EUW1_7617688739,Renekton,Rengar,Ziggs,Tristana,Neeko,Ornn,Ambessa,Karma,Syndra,Poppy
EUW1_7617626291,Riven,Zac,Quinn,Syndra,Nautilus,KSante,Ambessa,Orianna,Smolder,Zaahen
